date,closedPnL,volume,classification,value,leverage,leverage_delta,pnl_next,sentiment_flag
2024-01-08,-269.874439,1522452.43,Greed,71.0,0.027228163069654896,0.008470099451479068,-826.349863,1.0
2024-01-09,-826.349863,870051.97,Extreme Greed,76.0,0.015560365084626462,-0.011667797985028434,-1517.091342,1.0
2024-01-10,-1517.091342,2057479.48,Greed,73.0,0.0367968067458499,0.021236441661223435,-164.08950099999998,1.0
2024-01-11,-164.08950099999998,305314.1,Extreme Greed,76.0,0.005460360891411683,-0.03133644585443821,-1925.519024,1.0
2024-01-12,-1925.519024,200082.27,Greed,71.0,0.003578351589893326,-0.0018820093015183572,152.85358,1.0
2024-01-15,152.85358,50636.1,Neutral,52.0,0.0009055948582438461,-0.00267275673164948,-2299.171458,0.0
2024-01-16,-2299.171458,116427.33,Greed,64.0,0.002082232257957731,0.0011766373997138847,813.2741110000001,1.0
2024-01-17,813.2741110000001,800831.03,Greed,60.0,0.014322389341547167,0.012240157083589435,68.93319,1.0
2024-01-18,68.93319,424631.52999999997,Greed,63.0,0.007594282852982298,-0.006728106488564869,-385.419235,1.0
2024-01-19,-385.419235,428428.97,Neutral,51.0,0.007662197830817025,6.791497783472777e-05,-146.57487000000003,0.0
2024-01-20,-146.57487000000003,1070090.51,Neutral,52.0,0.01913793655651051,0.011475738725693484,266.58114600000005,0.0
2024-01-21,266.58114600000005,103129.74,Greed,56.0,0.0018444126926439141,-0.017293523863866594,1375.640959,1.0
2024-01-22,1375.640959,337878.99,Greed,55.0,0.0060427647694296,0.004198352076785686,-369.2447299999998,1.0
2024-01-23,-369.2447299999998,414518.93000000005,Neutral,50.0,0.007413424957965795,0.0013706601885361954,-2808.353815,0.0
2024-01-24,-2808.353815,965084.59,Neutral,48.0,0.017259967522288713,0.009846542564322918,-3093.6293849999997,0.0
2024-01-25,-3093.6293849999997,66566.13,Neutral,52.0,0.0011904940625384638,-0.01606947345975025,90.2,0.0
2024-01-26,90.2,11773.21,Neutral,49.0,0.00021055495953748756,-0.0009799391030009762,-2478.06972,0.0
2024-01-28,-2478.06972,18109.03,Neutral,54.0,0.00032386736865121327,0.00011331240911372571,486.562542,0.0
2024-01-29,486.562542,414208.18,Greed,55.0,0.007407867377237161,0.007084000008585948,-173.65419100000003,1.0
2024-01-30,-173.65419100000003,401011.38,Greed,61.0,0.0071718503817114025,-0.00023601699552575853,-799.840817,1.0
